Model,FPR,TPR,Threshold
CatBoost,0.0027721038809454335,0.1426487747957993,0.8940099724193384
CatBoost,0.0027721038809454335,0.14352392065344224,0.8931288271061618
CatBoost,0.0029180040852057193,0.14352392065344224,0.8930409794559152
CatBoost,0.0029180040852057193,0.14571178529754958,0.891313427796403
CatBoost,0.003063904289466005,0.14571178529754958,0.8911380142210548
CatBoost,0.003063904289466005,0.14775379229871646,0.8902025876706682
CatBoost,0.0032098044937262913,0.14775379229871646,0.8901806559713246
CatBoost,0.0032098044937262913,0.14862893815635939,0.8898576026510026
CatBoost,0.003355704697986577,0.14862893815635939,0.889783996997958
CatBoost,0.003355704697986577,0.1500875145857643,0.888589134320329
CatBoost,0.0035016049022468633,0.1500875145857643,0.8884662332879041
CatBoost,0.0035016049022468633,0.15110851808634773,0.8877507430567089
CatBoost,0.003647505106507149,0.15110851808634773,0.887628213415708
CatBoost,0.003647505106507149,0.15300466744457408,0.8859617223715618
CatBoost,0.003793405310767435,0.15300466744457408,0.8859300001195161
CatBoost,0.003793405310767435,0.15402567094515754,0.8846854528167851
CatBoost,0.003939305515027721,0.15402567094515754,0.8846236751985938
CatBoost,0.003939305515027721,0.1543173862310385,0.884521280980233
CatBoost,0.004085205719288007,0.1543173862310385,0.8844490770530185
CatBoost,0.004085205719288007,0.15840140023337224,0.881699429795634
CatBoost,0.004377006127808579,0.15840140023337224,0.881533512340518
CatBoost,0.004377006127808579,0.1602975495915986,0.8805700885773508
CatBoost,0.004522906332068865,0.1602975495915986,0.8805152966386266
CatBoost,0.004522906332068865,0.16306884480746792,0.8789216486280331
CatBoost,0.0046688065363291505,0.16306884480746792,0.8788661315839207
CatBoost,0.0046688065363291505,0.1646732788798133,0.87680466627218
CatBoost,0.004814706740589437,0.1646732788798133,0.8765075533514847
CatBoost,0.004814706740589437,0.1649649941656943,0.8758403712691726
CatBoost,0.004960606944849723,0.1649649941656943,0.8757925577895114
CatBoost,0.004960606944849723,0.16525670945157525,0.8753625319469794
CatBoost,0.005106507149110009,0.16525670945157525,0.8751904281368683
CatBoost,0.005106507149110009,0.1661318553092182,0.8744154581837427
CatBoost,0.005252407353370295,0.1661318553092182,0.8741687525875396
CatBoost,0.005252407353370295,0.16671528588098017,0.8736358839263046
CatBoost,0.00539830755763058,0.16671528588098017,0.8736314935686122
CatBoost,0.00539830755763058,0.16817386231038506,0.8728252030831289
CatBoost,0.005544207761890867,0.16817386231038506,0.8728117720159421
